First Name,Last Name,Name,Age,Location,Gender,Ethnicity,Education,Occupation,Email,Phone_Number,Contact_Status,Additional_Info
James,Smith,James Smith,31,New Orleans,m,Other,High School,Customer Relations,jsmith@gmail.com,504-845-1427,0,
Josephine,Darakjy,Josephine Darakjy,61,Brighton,f,Hispanic,High School,Customer Relations,josephine_darakjy@darakjy.org,810-374-9840,0,
Art,Venere,Art Venere,18,Bridgeport,m,Hispanic,Other,Student,art@venere.org,856-264-4130,0,
Lenna,Paprocki,Lenna Paprocki,19,Anchorage,m,White,Other,Student,lpaprocki@hotmail.com,907-921-2010,0,
Donette,Foller,Donette Foller,51,Hamilton,f,White,Doctorate,Customer Relations,donette.foller@cox.net,513-549-4561,0,
Simona,Morasca,Simona Morasca,49,Ashland,m,White,Doctorate,Customer Relations,simona@morasca.com,419-800-6759,0,
Mitsue,Tollner,Mitsue Tollner,58,Chicago,m,White,College,Student,mitsue_tollner@yahoo.com,773-924-8565,0,
Leota,Dilliard,Leota Dilliard,64,San Jose,f,Hispanic,College,Student,leota@hotmail.com,408-813-1105,0,
Sage,Wieser,Sage Wieser,55,Sioux Falls,m,Hispanic,College,Finance,sage_wieser@cox.net,605-794-4895,0,
Kris,Marrier,Kris Marrier,38,Baltimore,m,Other,College,Finance,kris@gmail.com,410-804-4694,0,
Minna,Amigon,Minna Amigon,58,Kulpsville,m,Other,Doctorate,Student,minna_amigon@yahoo.com,215-422-8694,0,
Abel,Maclead,Abel Maclead,28,Middle Island,m,Hispanic,Doctorate,Student,amaclead@gmail.com,631-677-3675,0,
Kiley,Caldarera,Kiley Caldarera,46,Los Angeles,f,Hispanic,Other,Customer Relations,kiley.caldarera@aol.com,310-254-3084,0,
Graciela,Ruta,Graciela Ruta,45,Chagrin Falls,f,Hispanic,Other,Customer Relations,gruta@cox.net,440-579-7763,0,
Cammy,Albares,Cammy Albares,51,Laredo,m,Hispanic,Doctorate,Student,calbares@gmail.com,956-841-7216,0,
Mattie,Poquette,Mattie Poquette,34,Phoenix,f,Other,Doctorate,Student,mattie@aol.com,602-953-6360,0,
Meaghan,Garufi,Meaghan Garufi,40,Mc Minnville,m,Other,Doctorate,Manager,meaghan@hotmail.com,931-235-7959,0,
Gladys,Rim,Gladys Rim,53,Milwaukee,f,Black,Doctorate,Manager,gladys.rim@rim.org,414-377-2880,0,
Yuki,Whobrey,Yuki Whobrey,30,Taylor,m,Black,Other,Manager,yuki_whobrey@aol.com,313-341-4470,0,
Fletcher,Flosi,Fletcher Flosi,48,Rockford,f,Asian,Other,Manager,fletcher.flosi@yahoo.com,815-426-5657,0,
Bette,Nicka,Bette Nicka,51,Aston,f,Asian,High School,Sales,bette_nicka@cox.net,610-492-4643,0,
Veronika,Inouye,Veronika Inouye,18,San Jose,m,Hispanic,High School,Sales,vinouye@aol.com,408-813-4592,0,
Willard,Kolmetz,Willard Kolmetz,58,Irving,f,Hispanic,Masters,Engineer,willard@hotmail.com,972-896-4882,0,
